,score,time,user,product
3451029,5.0,2014-01-10,A3O3QJFOVMTOCW,B004WA63IC
169837,4.0,2016-01-18,A363TK7QGSJBDX,B00074H6WO
7554077,5.0,2016-07-31,AH10ATH3MX7TK,B00WODM7Y8
2540915,5.0,2018-02-14,A2SE2RUBJSZVLD,B002APAWY2
861692,5.0,2015-08-22,A2B4QYNKZUEW6E,B000O8B7R8
135169,5.0,2016-07-12,ASA5RSXOAVT12,B0002YRNJK
4973491,5.0,2015-04-18,AP9M8VJU51B2R,B00BQ0QBME
930072,5.0,2014-08-18,ADMJWDBE9COJ4,B000PW58QY
11758741,5.0,2017-08-28,A24X95FNWXATPO,B00MXUH7CO
12270894,5.0,2018-05-01,A32LPOQDB874OS,B0101RP1M8
4783023,5.0,2016-03-27,A3OO7BT0WMAKUZ,B00AU6H76O
10172826,5.0,2016-08-02,A1QNJ5NBIRRZS0,B004H85EXE
8968980,4.0,2016-05-08,A35HOUWHAYZZN6,B01D4JM6AK
562677,5.0,2017-07-18,A34AIOPKP1OC80,B000G7VB64
899268,5.0,2017-03-08,A1WPMWU9D3TRF,B000P8WTQU
123252,5.0,2014-08-02,A2GNQJT9BAMZGA,B0002N2D6O
2526067,4.0,2016-10-09,A13LOB9GV3LY39,B0029KDHQI
4303662,5.0,2016-03-16,A1S389SFJAB5VO,B007Z1I8UQ
8927880,5.0,2017-05-15,A519PP6B60ZT6,B01CQBYU1U
8924932,4.0,2016-10-04,A2U27A197AH87W,B01COC7JVE
5726046,5.0,2014-09-10,A1S5YDHQC1RFPC,B00GNU1G5Y
9849868,4.0,2018-01-11,A27NJN772OERYV,B001OPHFIA
3258013,5.0,2015-09-06,A2RO4PB4APVC94,B004EXV26A
5948056,2.0,2016-02-06,A1KFG8J7NP8NKG,B00I6OOGTS
549434,4.0,2017-05-08,A2PSTWYS4P4LQZ,B000FXVAYW
3133816,5.0,2016-10-25,ATX721GQ8EO8W,B00457SRBI
5603926,4.0,2015-02-12,AA1ZYCEKJGG3A,B00FTXR49S
7812147,5.0,2016-09-02,A2JKX2F1M12YBW,B00ZUABS6A
6699689,5.0,2017-03-11,A3LSP7G53N5SSO,B00NHO556A
11622974,2.0,2017-01-04,A30N8BXBDNFJM6,B00KUT0PGA
2478369,5.0,2014-11-07,A1IQ0OJ7JNV3R0,B0026I0TYG
3557720,4.0,2012-09-16,A1878O39ZKG24F,B0053HEPSS
6954443,5.0,2016-09-24,A1T4Y41CCA3VO,B00PRRHI92
396510,5.0,2016-05-08,A8B40EI9VUHDT,B000C17I9S
8157822,5.0,2016-09-16,A2EIFZ15A9BANZ,B014VAQQCA
7738739,5.0,2017-01-07,A364ORODKP4XFJ,B00YSMSKSU
4927728,4.0,2016-04-15,A174P15GRWH7ZT,B00BI9AM14
8250205,5.0,2015-10-14,A2341V07DRDSC,B015NPJ70U
3436999,5.0,2014-12-03,A398JYSNAYDLIG,B004VJRLEY
9514481,5.0,2018-02-22,A6E34KYWRWIQR,B000HD8RBE
10124155,5.0,2017-11-27,AA6VUCJ6OSLMD,B0045DGKDO
7183528,5.0,2016-01-20,A1TNQY2LOTPQGT,B00SICGJ5W
5494064,4.0,2016-08-06,A1F10EHNCC1GHG,B00F66604I
2519638,5.0,2013-06-08,AQL79RXJEB0IF,B0028XERR4
4852264,5.0,2014-12-26,A33Z3089SL9A4R,B00B4S9WG0
699993,5.0,2015-03-27,A2IAL57T8BWVMQ,B000JZ7JM8
804240,2.0,2016-11-07,A2G2E693YTIHVJ,B000MTCRAA
891437,5.0,2014-04-21,A1YCRH7VB4WS8U,B000P3YTMC
3641403,5.0,2016-01-21,A27JXR6QL0I80S,B005C4V3LY
3932695,4.0,2015-12-10,A7J5Z6Z5H6V67,B0067PG07Y
2925432,5.0,2017-09-08,ADMN4706F5ZCM,B003ITDPXE
7162016,4.0,2017-10-23,A3OQUBBS6PX0D0,B00SAMB0YK
2456292,5.0,2015-10-01,A207XHK5UYZNNN,B0022IQ6UQ
3296752,5.0,2016-07-09,AOOQDJPNAEGKE,B004JKF23M
3404593,4.0,2015-09-29,A9X15ZBVTGPA9,B004U4H6EK
7171076,5.0,2018-03-16,A35UXXVP49T8XJ,B00SGB60YK
1293684,5.0,2015-08-21,AJVFPC26GHXGF,B0014VVLCA
